time,symbol,equity,pass
2025-04-17T00:00:00-04:00,F,154113.84000000023,25
2025-04-17T00:00:00-04:00,F,160535.25000000023,26
2025-04-17T00:00:00-04:00,F,166956.66000000024,27
2025-04-17T00:00:00-04:00,F,173378.07000000024,28
2025-04-17T00:00:00-04:00,F,179799.48000000024,29
2025-04-17T00:00:00-04:00,F,186220.89000000025,30
2025-04-17T00:00:00-04:00,F,192642.30000000025,31
2025-04-17T00:00:00-04:00,F,199063.71000000025,32
2025-04-17T00:00:00-04:00,F,205485.12000000026,33
2025-04-17T00:00:00-04:00,F,211906.53000000026,34
2025-04-17T00:00:00-04:00,F,218327.94000000026,35
2025-04-17T00:00:00-04:00,F,224749.35000000027,36
2025-04-17T00:00:00-04:00,F,231170.76000000027,37
2025-04-17T00:00:00-04:00,F,237592.17000000027,38
2025-04-17T00:00:00-04:00,F,244013.58000000028,39
2025-04-17T00:00:00-04:00,F,250434.99000000028,40
2025-04-17T00:00:00-04:00,F,256856.40000000029,41
2025-04-17T00:00:00-04:00,F,263277.8100000003,42
2025-04-17T00:00:00-04:00,F,269699.2200000003,43
2025-04-17T00:00:00-04:00,F,276120.63000000035,44
2025-04-17T00:00:00-04:00,F,282542.0400000004,45
2025-04-17T00:00:00-04:00,F,288963.4500000004,46
2025-04-17T00:00:00-04:00,F,295384.86000000045,47
2025-04-17T00:00:00-04:00,F,301806.2700000005,48
2025-04-17T00:00:00-04:00,F,308227.6800000005,49
2025-04-17T00:00:00-04:00,F,314649.09000000055,50
2025-04-17T00:00:00-04:00,NIO,0.0,1
2025-04-17T00:00:00-04:00,NIO,7409.534999999993,2
2025-04-17T00:00:00-04:00,NIO,14819.069999999985,3
2025-04-17T00:00:00-04:00,NIO,22228.604999999974,4
2025-04-17T00:00:00-04:00,NIO,29638.139999999963,5
2025-04-17T00:00:00-04:00,NIO,37047.67499999995,6
2025-04-17T00:00:00-04:00,NIO,44457.20999999994,7
2025-04-17T00:00:00-04:00,NIO,51866.74499999993,8
2025-04-17T00:00:00-04:00,NIO,59276.27999999992,9
2025-04-17T00:00:00-04:00,NIO,66685.81499999992,10
2025-04-17T00:00:00-04:00,NIO,74095.3499999999,11
2025-04-17T00:00:00-04:00,NIO,81504.8849999999,12
2025-04-17T00:00:00-04:00,NIO,88914.41999999988,13
2025-04-17T00:00:00-04:00,NIO,96323.95499999987,14
2025-04-17T00:00:00-04:00,NIO,103733.48999999986,15
2025-04-17T00:00:00-04:00,NIO,111143.02499999985,16
2025-04-17T00:00:00-04:00,NIO,118552.55999999984,17
2025-04-17T00:00:00-04:00,NIO,125962.09499999983,18
2025-04-17T00:00:00-04:00,NIO,133371.62999999983,19
2025-04-17T00:00:00-04:00,NIO,140781.16499999983,20
2025-04-17T00:00:00-04:00,NIO,148190.69999999984,21
2025-04-17T00:00:00-04:00,NIO,155600.23499999984,22
2025-04-17T00:00:00-04:00,NIO,163009.76999999984,23
2025-04-17T00:00:00-04:00,NIO,170419.30499999985,24
2025-04-17T00:00:00-04:00,NIO,177828.83999999985,25
2025-04-17T00:00:00-04:00,NIO,185238.37499999985,26
2025-04-17T00:00:00-04:00,NIO,192647.90999999986,27
2025-04-17T00:00:00-04:00,NIO,200057.44499999986,28
2025-04-17T00:00:00-04:00,NIO,207466.97999999986,29
2025-04-17T00:00:00-04:00,NIO,214876.51499999987,30
2025-04-17T00:00:00-04:00,NIO,222286.04999999987,31
